
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Satu Mare, Anul 2010, Numar persoane, 395918
Total, Total, Total, Satu Mare, Anul 2011, Numar persoane, 395212
Total, Total, Total, Satu Mare, Anul 2012, Numar persoane, 394308
Total, Total, Total, Satu Mare, Anul 2013, Numar persoane, 393652
Total, Total, Total, Satu Mare, Anul 2014, Numar persoane, 392794
Total, Total, Total, Satu Mare, Anul 2015, Numar persoane, 392280
Total, Total, Total, Satu Mare, Anul 2016, Numar persoane, 390939
Total, Total, Total, Satu Mare, Anul 2017, Numar persoane, 389982
Total, Total, Total, Salaj, Anul 1992, Numar persoane, 273797
Total, Total, Total, Salaj, Anul 1993, Numar persoane, 271997
Total, Total, Total, Salaj, Anul 1994, Numar persoane, 270630
Total, Total, Total, Salaj, Anul 1995, Numar persoane, 269454
Total, Total, Total, Salaj, Anul 1996, Numar persoane, 268188
Total, Total, Total, Salaj, Anul 1997, Numar persoane, 266454
Total, Total, Total, Salaj, Anul 1998, Numar persoane, 264663
Total, Total, Total, Salaj, Anul 1999, Numar persoane, 263319
Total, Total, Total, Salaj, Anul 2000, Numar persoane, 262126
Total, Total, Total, Salaj, Anul 2001, Numar persoane, 261539
Total, Total, Total, Salaj, Anul 2002, Numar persoane, 260738
Total, Total, Total, Salaj, Anul 2003, Numar persoane, 259947
Total, Total, Total, Salaj, Anul 2004, Numar persoane, 258832
Total, Total, Total, Salaj, Anul 2005, Numar persoane, 257628
Total, Total, Total, Salaj, Anul 2006, Numar persoane, 256821
Total, Total, Total, Salaj, Anul 2007, Numar persoane, 255794
Total, Total, Total, Salaj, Anul 2008, Numar persoane, 254828
Total, Total, Total, Salaj, Anul 2009, Numar persoane, 254246
Total, Total, Total, Salaj, Anul 2010, Numar persoane, 253210
Total, Total, Total, Salaj, Anul 2011, Numar persoane, 252234
Total, Total, Total, Salaj, Anul 2012, Numar persoane, 251166
Total, Total, Total, Salaj, Anul 2013, Numar persoane, 250344
Total, Total, Total, Salaj, Anul 2014, Numar persoane, 249405
Total, Total, Total, Salaj, Anul 2015, Numar persoane, 248658
Total, Total, Total, Salaj, Anul 2016, Numar persoane, 247702
Total, Total, Total, Salaj, Anul 2017, Numar persoane, 246810
Total, Total, Total, Regiunea CENTRU, Anul 1992, Numar persoane, 2709383
Total, Total, Total, Regiunea CENTRU, Anul 1993, Numar persoane, 2704881
Total, Total, Total, Regiunea CENTRU, Anul 1994, Numar persoane, 2700098
Total, Total, Total, Regiunea CENTRU, Anul 1995, Numar persoane, 2696858
Total, Total, Total, Regiunea CENTRU, Anul 1996, Numar persoane, 2688498
Total, Total, Total, Regiunea CENTRU, Anul 1997, Numar persoane, 2681436
Total, Total, Total, Regiunea CENTRU, Anul 1998, Numar persoane, 2675399
Total, Total, Total, Regiunea CENTRU, Anul 1999, Numar persoane, 2671089
Total, Total, Total, Regiunea CENTRU, Anul 2000, Numar persoane, 2667530
Total, Total, Total, Regiunea CENTRU, Anul 2001, Numar persoane, 2666543
Total, Total, Total, Regiunea CENTRU, Anul 2002, Numar persoane, 2665501
Total, Total, Total, Regiunea CENTRU, Anul 2003, Numar persoane, 2661725
Total, Total, Total, Regiunea CENTRU, Anul 2004, Numar persoane, 2658832
Total, Total, Total, Regiunea CENTRU, Anul 2005, Numar persoane, 2655642
Total, Total, Total, Regiunea CENTRU, Anul 2006, Numar persoane, 2654240
Total, Total, Total, Regiunea CENTRU, Anul 2007, Numar persoane, 2651438
Total, Total, Total, Regiunea CENTRU, Anul 2008, Numar persoane, 2651116
Total, Total, Total, Regiunea CENTRU, Anul 2009, Numar persoane, 2651109
Total, Total, Total, Regiunea CENTRU, Anul 2010, Numar persoane, 2650347
Total, Total, Total, Regiunea CENTRU, Anul 2011, Numar persoane, 2648936
Total, Total, Total, Regiunea CENTRU, Anul 2012, Numar persoane, 2646270
Total, Total, Total, Regiunea CENTRU, Anul 2013, Numar persoane, 2643673
Total, Total, Total, Regiunea CENTRU, Anul 2014, Numar persoane, 2641067
Total, Total, Total, Regiunea CENTRU, Anul 2015, Numar persoane, 2639990
Total, Total, Total, Regiunea CENTRU, Anul 2016, Numar persoane, 2636047
Total, Total, Total, Regiunea CENTRU, Anul 2017, Numar persoane, 2633952
Total, Total, Total, Alba, Anul 1992, Numar persoane, 419698
Total, Total, Total, Alba, Anul 1993, Numar persoane, 417700
Total, Total, Total, Alba, Anul 1994, Numar persoane, 415728
Total, Total, Total, Alba, Anul 1995, Numar persoane, 414091
Total, Total, Total, Alba, Anul 1996, Numar persoane, 411998
Total, Total, Total, Alba, Anul 1997, Numar persoane, 409942
Total, Total, Total, Alba, Anul 1998, Numar persoane, 408257
Total, Total, Total, Alba, Anul 1999, Numar persoane, 406478
Total, Total, Total, Alba, Anul 2000, Numar persoane, 404806
Total, Total, Total, Alba, Anul 2001, Numar persoane, 403466
Total, Total, Total, Alba, Anul 2002, Numar persoane, 402290
Total, Total, Total, Alba, Anul 2003, Numar persoane, 400760
Total, Total, Total, Alba, Anul 2004, Numar persoane, 399162
Total, Total, Total, Alba, Anul 2005, Numar persoane, 397650
Total, Total, Total, Alba, Anul 2006, Numar persoane, 396429
Total, Total, Total, Alba, Anul 2007, Numar persoane, 394641
Total, Total, Total, Alba, Anul 2008, Numar persoane, 393390
