
Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Dolj, Anul 2001, Numar persoane, 750850
Total, Total, Total, Dolj, Anul 2002, Numar persoane, 748612
Total, Total, Total, Dolj, Anul 2003, Numar persoane, 745320
Total, Total, Total, Dolj, Anul 2004, Numar persoane, 741495
Total, Total, Total, Dolj, Anul 2005, Numar persoane, 737841
Total, Total, Total, Dolj, Anul 2006, Numar persoane, 734698
Total, Total, Total, Dolj, Anul 2007, Numar persoane, 731228
Total, Total, Total, Dolj, Anul 2008, Numar persoane, 728295
Total, Total, Total, Dolj, Anul 2009, Numar persoane, 725464
Total, Total, Total, Dolj, Anul 2010, Numar persoane, 722251
Total, Total, Total, Dolj, Anul 2011, Numar persoane, 718662
Total, Total, Total, Dolj, Anul 2012, Numar persoane, 715186
Total, Total, Total, Dolj, Anul 2013, Numar persoane, 711844
Total, Total, Total, Dolj, Anul 2014, Numar persoane, 708129
Total, Total, Total, Dolj, Anul 2015, Numar persoane, 705007
Total, Total, Total, Dolj, Anul 2016, Numar persoane, 700840
Total, Total, Total, Dolj, Anul 2017, Numar persoane, 697374
Total, Total, Total, Gorj, Anul 1992, Numar persoane, 384507
Total, Total, Total, Gorj, Anul 1993, Numar persoane, 384885
Total, Total, Total, Gorj, Anul 1994, Numar persoane, 385801
Total, Total, Total, Gorj, Anul 1995, Numar persoane, 386739
Total, Total, Total, Gorj, Anul 1996, Numar persoane, 387219
Total, Total, Total, Gorj, Anul 1997, Numar persoane, 387379
Total, Total, Total, Gorj, Anul 1998, Numar persoane, 387333
Total, Total, Total, Gorj, Anul 1999, Numar persoane, 387094
Total, Total, Total, Gorj, Anul 2000, Numar persoane, 386755
Total, Total, Total, Gorj, Anul 2001, Numar persoane, 386619
Total, Total, Total, Gorj, Anul 2002, Numar persoane, 386051
Total, Total, Total, Gorj, Anul 2003, Numar persoane, 385535
Total, Total, Total, Gorj, Anul 2004, Numar persoane, 384943
Total, Total, Total, Gorj, Anul 2005, Numar persoane, 384339
Total, Total, Total, Gorj, Anul 2006, Numar persoane, 383598
Total, Total, Total, Gorj, Anul 2007, Numar persoane, 382332
Total, Total, Total, Gorj, Anul 2008, Numar persoane, 381300
Total, Total, Total, Gorj, Anul 2009, Numar persoane, 380075
Total, Total, Total, Gorj, Anul 2010, Numar persoane, 378708
Total, Total, Total, Gorj, Anul 2011, Numar persoane, 377200
Total, Total, Total, Gorj, Anul 2012, Numar persoane, 375439
Total, Total, Total, Gorj, Anul 2013, Numar persoane, 373441
Total, Total, Total, Gorj, Anul 2014, Numar persoane, 371345
Total, Total, Total, Gorj, Anul 2015, Numar persoane, 369004
Total, Total, Total, Gorj, Anul 2016, Numar persoane, 366429
Total, Total, Total, Gorj, Anul 2017, Numar persoane, 364058
Total, Total, Total, Mehedinti, Anul 1992, Numar persoane, 327674
Total, Total, Total, Mehedinti, Anul 1993, Numar persoane, 326819
Total, Total, Total, Mehedinti, Anul 1994, Numar persoane, 325902
Total, Total, Total, Mehedinti, Anul 1995, Numar persoane, 324758
Total, Total, Total, Mehedinti, Anul 1996, Numar persoane, 323504
Total, Total, Total, Mehedinti, Anul 1997, Numar persoane, 322251
Total, Total, Total, Mehedinti, Anul 1998, Numar persoane, 320789
Total, Total, Total, Mehedinti, Anul 1999, Numar persoane, 319550
Total, Total, Total, Mehedinti, Anul 2000, Numar persoane, 318669
Total, Total, Total, Mehedinti, Anul 2001, Numar persoane, 317705
Total, Total, Total, Mehedinti, Anul 2002, Numar persoane, 316057
Total, Total, Total, Mehedinti, Anul 2003, Numar persoane, 314672
Total, Total, Total, Mehedinti, Anul 2004, Numar persoane, 313112
Total, Total, Total, Mehedinti, Anul 2005, Numar persoane, 311541
Total, Total, Total, Mehedinti, Anul 2006, Numar persoane, 309827
Total, Total, Total, Mehedinti, Anul 2007, Numar persoane, 307612
Total, Total, Total, Mehedinti, Anul 2008, Numar persoane, 305042
Total, Total, Total, Mehedinti, Anul 2009, Numar persoane, 302821
Total, Total, Total, Mehedinti, Anul 2010, Numar persoane, 300756
Total, Total, Total, Mehedinti, Anul 2011, Numar persoane, 298143
Total, Total, Total, Mehedinti, Anul 2012, Numar persoane, 295975
Total, Total, Total, Mehedinti, Anul 2013, Numar persoane, 293999
Total, Total, Total, Mehedinti, Anul 2014, Numar persoane, 291674
Total, Total, Total, Mehedinti, Anul 2015, Numar persoane, 289469
Total, Total, Total, Mehedinti, Anul 2016, Numar persoane, 287005
Total, Total, Total, Mehedinti, Anul 2017, Numar persoane, 284840
Total, Total, Total, Olt, Anul 1992, Numar persoane, 528579
Total, Total, Total, Olt, Anul 1993, Numar persoane, 526355
Total, Total, Total, Olt, Anul 1994, Numar persoane, 524482
Total, Total, Total, Olt, Anul 1995, Numar persoane, 522919
Total, Total, Total, Olt, Anul 1996, Numar persoane, 520558
Total, Total, Total, Olt, Anul 1997, Numar persoane, 517834
Total, Total, Total, Olt, Anul 1998, Numar persoane, 515730
Total, Total, Total, Olt, Anul 1999, Numar persoane, 513419
Total, Total, Total, Olt, Anul 2000, Numar persoane, 511081
Total, Total, Total, Olt, Anul 2001, Numar persoane, 509113
Total, Total, Total, Olt, Anul 2002, Numar persoane, 505668
Total, Total, Total, Olt, Anul 2003, Numar persoane, 501770
Total, Total, Total, Olt, Anul 2004, Numar persoane, 498085
Total, Total, Total, Olt, Anul 2005, Numar persoane, 495203
Total, Total, Total, Olt, Anul 2006, Numar persoane, 492055
Total, Total, Total, Olt, Anul 2007, Numar persoane, 488146
Total, Total, Total, Olt, Anul 2008, Numar persoane, 484604
Total, Total, Total, Olt, Anul 2009, Numar persoane, 480287
Total, Total, Total, Olt, Anul 2010, Numar persoane, 476608
Total, Total, Total, Olt, Anul 2011, Numar persoane, 472009
Total, Total, Total, Olt, Anul 2012, Numar persoane, 467951
Total, Total, Total, Olt, Anul 2013, Numar persoane, 463568
Total, Total, Total, Olt, Anul 2014, Numar persoane, 459212
Total, Total, Total, Olt, Anul 2015, Numar persoane, 455002
Total, Total, Total, Olt, Anul 2016, Numar persoane, 450333
Total, Total, Total, Olt, Anul 2017, Numar persoane, 446019
Total, Total, Total, Valcea, Anul 1992, Numar persoane, 435159
Total, Total, Total, Valcea, Anul 1993, Numar persoane, 433888
Total, Total, Total, Valcea, Anul 1994, Numar persoane, 433166
Total, Total, Total, Valcea, Anul 1995, Numar persoane, 432482
Total, Total, Total, Valcea, Anul 1996, Numar persoane, 431368
Total, Total, Total, Valcea, Anul 1997, Numar persoane, 429987
Total, Total, Total, Valcea, Anul 1998, Numar persoane, 428523
Total, Total, Total, Valcea, Anul 1999, Numar persoane, 427045
Total, Total, Total, Valcea, Anul 2000, Numar persoane, 426356
Total, Total, Total, Valcea, Anul 2001, Numar persoane, 425642
Total, Total, Total, Valcea, Anul 2002, Numar persoane, 424948
Total, Total, Total, Valcea, Anul 2003, Numar persoane, 423731
Total, Total, Total, Valcea, Anul 2004, Numar persoane, 422325
Total, Total, Total, Valcea, Anul 2005, Numar persoane, 420977
Total, Total, Total, Valcea, Anul 2006, Numar persoane, 419560
Total, Total, Total, Valcea, Anul 2007, Numar persoane, 417737
Total, Total, Total, Valcea, Anul 2008, Numar persoane, 416295
Total, Total, Total, Valcea, Anul 2009, Numar persoane, 414893
Total, Total, Total, Valcea, Anul 2010, Numar persoane, 413687
Total, Total, Total, Valcea, Anul 2011, Numar persoane, 411976
Total, Total, Total, Valcea, Anul 2012, Numar persoane, 410427
Total, Total, Total, Valcea, Anul 2013, Numar persoane, 408690
Total, Total, Total, Valcea, Anul 2014, Numar persoane, 407291
Total, Total, Total, Valcea, Anul 2015, Numar persoane, 405634
Total, Total, Total, Valcea, Anul 2016, Numar persoane, 403311
Total, Total, Total, Valcea, Anul 2017, Numar persoane, 401181
Total, Total, Total, Regiunea VEST, Anul 1992, Numar persoane, 2118807
Total, Total, Total, Regiunea VEST, Anul 1993, Numar persoane, 2120182
Total, Total, Total, Regiunea VEST, Anul 1994, Numar persoane, 2117106
Total, Total, Total, Regiunea VEST, Anul 1995, Numar persoane, 2113230
Total, Total, Total, Regiunea VEST, Anul 1996, Numar persoane, 2107032
Total, Total, Total, Regiunea VEST, Anul 1997, Numar persoane, 2100083
Total, Total, Total, Regiunea VEST, Anul 1998, Numar persoane, 2091162
Total, Total, Total, Regiunea VEST, Anul 1999, Numar persoane, 2084655
Total, Total, Total, Regiunea VEST, Anul 2000, Numar persoane, 2078015
Total, Total, Total, Regiunea VEST, Anul 2001, Numar persoane, 2073952
Total, Total, Total, Regiunea VEST, Anul 2002, Numar persoane, 2070758
Total, Total, Total, Regiunea VEST, Anul 2003, Numar persoane, 2066172
Total, Total, Total, Regiunea VEST, Anul 2004, Numar persoane, 2062130
Total, Total, Total, Regiunea VEST, Anul 2005, Numar persoane, 2057487
Total, Total, Total, Regiunea VEST, Anul 2006, Numar persoane, 2052749
Total, Total, Total, Regiunea VEST, Anul 2007, Numar persoane, 2050068
Total, Total, Total, Regiunea VEST, Anul 2008, Numar persoane, 2049737
Total, Total, Total, Regiunea VEST, Anul 2009, Numar persoane, 2048605
Total, Total, Total, Regiunea VEST, Anul 2010, Numar persoane, 2045583
Total, Total, Total, Regiunea VEST, Anul 2011, Numar persoane, 2042854
Total, Total, Total, Regiunea VEST, Anul 2012, Numar persoane, 2037445
Total, Total, Total, Regiunea VEST, Anul 2013, Numar persoane, 2032403
Total, Total, Total, Regiunea VEST, Anul 2014, Numar persoane, 2026166
Total, Total, Total, Regiunea VEST, Anul 2015, Numar persoane, 2022647
Total, Total, Total, Regiunea VEST, Anul 2016, Numar persoane, 2016294
Total, Total, Total, Regiunea VEST, Anul 2017, Numar persoane, 2011380
Total, Total, Total, Arad, Anul 1992, Numar persoane, 491675
Total, Total, Total, Arad, Anul 1993, Numar persoane, 491152
Total, Total, Total, Arad, Anul 1994, Numar persoane, 489045
Total, Total, Total, Arad, Anul 1995, Numar persoane, 487669
Total, Total, Total, Arad, Anul 1996, Numar persoane, 486539
Total, Total, Total, Arad, Anul 1997, Numar persoane, 484743
Total, Total, Total, Arad, Anul 1998, Numar persoane, 484194
Total, Total, Total, Arad, Anul 1999, Numar persoane, 484410
Total, Total, Total, Arad, Anul 2000, Numar persoane, 484423
Total, Total, Total, Arad, Anul 2001, Numar persoane, 484884
Total, Total, Total, Arad, Anul 2002, Numar persoane, 484444
Total, Total, Total, Arad, Anul 2003, Numar persoane, 483708
Total, Total, Total, Arad, Anul 2004, Numar persoane, 483456
Total, Total, Total, Arad, Anul 2005, Numar persoane, 482919
Total, Total, Total, Arad, Anul 2006, Numar persoane, 481807
Total, Total, Total, Arad, Anul 2007, Numar persoane, 481419
Total, Total, Total, Arad, Anul 2008, Numar persoane, 481638
Total, Total, Total, Arad, Anul 2009, Numar persoane, 481765
Total, Total, Total, Arad, Anul 2010, Numar persoane, 480805
Total, Total, Total, Arad, Anul 2011, Numar persoane, 480473
Total, Total, Total, Arad, Anul 2012, Numar persoane, 479332
Total, Total, Total, Arad, Anul 2013, Numar persoane, 478166
Total, Total, Total, Arad, Anul 2014, Numar persoane, 476767
Total, Total, Total, Arad, Anul 2015, Numar persoane, 475805
Total, Total, Total, Arad, Anul 2016, Numar persoane, 474347
Total, Total, Total, Arad, Anul 2017, Numar persoane, 473319
Total, Total, Total, Caras-Severin, Anul 1992, Numar persoane, 374210
Total, Total, Total, Caras-Severin, Anul 1993, Numar persoane, 372173
Total, Total, Total, Caras-Severin, Anul 1994, Numar persoane, 370283
Total, Total, Total, Caras-Severin, Anul 1995, Numar persoane, 368191
Total, Total, Total, Caras-Severin, Anul 1996, Numar persoane, 365481
Total, Total, Total, Caras-Severin, Anul 1997, Numar persoane, 363055
Total, Total, Total, Caras-Severin, Anul 1998, Numar persoane, 360559
Total, Total, Total, Caras-Severin, Anul 1999, Numar persoane, 358850
Total, Total, Total, Caras-Severin, Anul 2000, Numar persoane, 356944
Total, Total, Total, Caras-Severin, Anul 2001, Numar persoane, 355265
Total, Total, Total, Caras-Severin, Anul 2002, Numar persoane, 354455
Total, Total, Total, Caras-Severin, Anul 2003, Numar persoane, 353922
Total, Total, Total, Caras-Severin, Anul 2004, Numar persoane, 353422
Total, Total, Total, Caras-Severin, Anul 2005, Numar persoane, 352629
Total, Total, Total, Caras-Severin, Anul 2006, Numar persoane, 351373
Total, Total, Total, Caras-Severin, Anul 2007, Numar persoane, 349636
Total, Total, Total, Caras-Severin, Anul 2008, Numar persoane, 347793
Total, Total, Total, Caras-Severin, Anul 2009, Numar persoane, 346172
Total, Total, Total, Caras-Severin, Anul 2010, Numar persoane, 344258
Total, Total, Total, Caras-Severin, Anul 2011, Numar persoane, 341789
Total, Total, Total, Caras-Severin, Anul 2012, Numar persoane, 339232
Total, Total, Total, Caras-Severin, Anul 2013, Numar persoane, 336783
Total, Total, Total, Caras-Severin, Anul 2014, Numar persoane, 333843
Total, Total, Total, Caras-Severin, Anul 2015, Numar persoane, 331465
Total, Total, Total, Caras-Severin, Anul 2016, Numar persoane, 328297
Total, Total, Total, Caras-Severin, Anul 2017, Numar persoane, 325495
Total, Total, Total, Hunedoara, Anul 1992, Numar persoane, 545299
Total, Total, Total, Hunedoara, Anul 1993, Numar persoane, 545027
Total, Total, Total, Hunedoara, Anul 1994, Numar persoane, 544525
Total, Total, Total, Hunedoara, Anul 1995, Numar persoane, 544036
Total, Total, Total, Hunedoara, Anul 1996, Numar persoane, 542493
Total, Total, Total, Hunedoara, Anul 1997, Numar persoane, 541304
Total, Total, Total, Hunedoara, Anul 1998, Numar persoane, 535615
Total, Total, Total, Hunedoara, Anul 1999, Numar persoane, 530887
Total, Total, Total, Hunedoara, Anul 2000, Numar persoane, 526797
Total, Total, Total, Hunedoara, Anul 2001, Numar persoane, 523662
Total, Total, Total, Hunedoara, Anul 2002, Numar persoane, 520910
Total, Total, Total, Hunedoara, Anul 2003, Numar persoane, 517275
Total, Total, Total, Hunedoara, Anul 2004, Numar persoane, 513744
Total, Total, Total, Hunedoara, Anul 2005, Numar persoane, 509580
Total, Total, Total, Hunedoara, Anul 2006, Numar persoane, 506344
Total, Total, Total, Hunedoara, Anul 2007, Numar persoane, 502593
Total, Total, Total, Hunedoara, Anul 2008, Numar persoane, 499521
Total, Total, Total, Hunedoara, Anul 2009, Numar persoane, 496391
Total, Total, Total, Hunedoara, Anul 2010, Numar persoane, 493479
Total, Total, Total, Hunedoara, Anul 2011, Numar persoane, 489548
Total, Total, Total, Hunedoara, Anul 2012, Numar persoane, 485787
Total, Total, Total, Hunedoara, Anul 2013, Numar persoane, 481915
Total, Total, Total, Hunedoara, Anul 2014, Numar persoane, 477675
Total, Total, Total, Hunedoara, Anul 2015, Numar persoane, 474178
Total, Total, Total, Hunedoara, Anul 2016, Numar persoane, 470223
Total, Total, Total, Hunedoara, Anul 2017, Numar persoane, 466016
Total, Total, Total, Timis, Anul 1992, Numar persoane, 707623
Total, Total, Total, Timis, Anul 1993, Numar persoane, 711830
Total, Total, Total, Timis, Anul 1994, Numar persoane, 713253
Total, Total, Total, Timis, Anul 1995, Numar persoane, 713334
Total, Total, Total, Timis, Anul 1996, Numar persoane, 712519
Total, Total, Total, Timis, Anul 1997, Numar persoane, 710981
Total, Total, Total, Timis, Anul 1998, Numar persoane, 710794
Total, Total, Total, Timis, Anul 1999, Numar persoane, 710508
Total, Total, Total, Timis, Anul 2000, Numar persoane, 709851
Total, Total, Total, Timis, Anul 2001, Numar persoane, 710141
Total, Total, Total, Timis, Anul 2002, Numar persoane, 710949
Total, Total, Total, Timis, Anul 2003, Numar persoane, 711267
Total, Total, Total, Timis, Anul 2004, Numar persoane, 711508
Total, Total, Total, Timis, Anul 2005, Numar persoane, 712359
Total, Total, Total, Timis, Anul 2006, Numar persoane, 713225
Total, Total, Total, Timis, Anul 2007, Numar persoane, 716420
Total, Total, Total, Timis, Anul 2008, Numar persoane, 720785
Total, Total, Total, Timis, Anul 2009, Numar persoane, 724277
Total, Total, Total, Timis, Anul 2010, Numar persoane, 727041
Total, Total, Total, Timis, Anul 2011, Numar persoane, 731044
Total, Total, Total, Timis, Anul 2012, Numar persoane, 733094
Total, Total, Total, Timis, Anul 2013, Numar persoane, 735539
Total, Total, Total, Timis, Anul 2014, Numar persoane, 737881
Total, Total, Total, Timis, Anul 2015, Numar persoane, 741199
Total, Total, Total, Timis, Anul 2016, Numar persoane, 743427
Total, Total, Total, Timis, Anul 2017, Numar persoane, 746550
