
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Sarcina  nastere si lauzie, Braila, Anul 1994, Numar persoane, 2
Sarcina  nastere si lauzie, Braila, Anul 1995, Numar persoane, 3
Sarcina  nastere si lauzie, Braila, Anul 1996, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 1997, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 1998, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 1999, Numar persoane, 2
Sarcina  nastere si lauzie, Braila, Anul 2001, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 2004, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 2007, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 2010, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 2012, Numar persoane, 2
Sarcina  nastere si lauzie, Braila, Anul 2013, Numar persoane, 1
Sarcina  nastere si lauzie, Braila, Anul 2015, Numar persoane, 1
Sarcina  nastere si lauzie, Buzau, Anul 1990, Numar persoane, 5
Sarcina  nastere si lauzie, Buzau, Anul 1991, Numar persoane, 4
Sarcina  nastere si lauzie, Buzau, Anul 1992, Numar persoane, 9
Sarcina  nastere si lauzie, Buzau, Anul 1993, Numar persoane, 5
Sarcina  nastere si lauzie, Buzau, Anul 1994, Numar persoane, 7
Sarcina  nastere si lauzie, Buzau, Anul 1995, Numar persoane, 4
Sarcina  nastere si lauzie, Buzau, Anul 1996, Numar persoane, 5
Sarcina  nastere si lauzie, Buzau, Anul 1997, Numar persoane, 3
Sarcina  nastere si lauzie, Buzau, Anul 1998, Numar persoane, 5
Sarcina  nastere si lauzie, Buzau, Anul 1999, Numar persoane, 4
Sarcina  nastere si lauzie, Buzau, Anul 2000, Numar persoane, 1
Sarcina  nastere si lauzie, Buzau, Anul 2001, Numar persoane, 3
Sarcina  nastere si lauzie, Buzau, Anul 2002, Numar persoane, 2
Sarcina  nastere si lauzie, Buzau, Anul 2003, Numar persoane, 6
Sarcina  nastere si lauzie, Buzau, Anul 2004, Numar persoane, 1
Sarcina  nastere si lauzie, Buzau, Anul 2005, Numar persoane, 1
Sarcina  nastere si lauzie, Buzau, Anul 2007, Numar persoane, 1
Sarcina  nastere si lauzie, Buzau, Anul 2008, Numar persoane, 1
Sarcina  nastere si lauzie, Buzau, Anul 2009, Numar persoane, 2
Sarcina  nastere si lauzie, Buzau, Anul 2012, Numar persoane, 1
Sarcina  nastere si lauzie, Buzau, Anul 2013, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 1990, Numar persoane, 13
Sarcina  nastere si lauzie, Constanta, Anul 1991, Numar persoane, 9
Sarcina  nastere si lauzie, Constanta, Anul 1992, Numar persoane, 7
Sarcina  nastere si lauzie, Constanta, Anul 1993, Numar persoane, 4
Sarcina  nastere si lauzie, Constanta, Anul 1994, Numar persoane, 9
Sarcina  nastere si lauzie, Constanta, Anul 1995, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 1996, Numar persoane, 6
Sarcina  nastere si lauzie, Constanta, Anul 1997, Numar persoane, 5
Sarcina  nastere si lauzie, Constanta, Anul 1998, Numar persoane, 2
Sarcina  nastere si lauzie, Constanta, Anul 1999, Numar persoane, 9
Sarcina  nastere si lauzie, Constanta, Anul 2000, Numar persoane, 3
Sarcina  nastere si lauzie, Constanta, Anul 2001, Numar persoane, 5
Sarcina  nastere si lauzie, Constanta, Anul 2002, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 2003, Numar persoane, 3
Sarcina  nastere si lauzie, Constanta, Anul 2004, Numar persoane, 3
Sarcina  nastere si lauzie, Constanta, Anul 2005, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 2006, Numar persoane, 2
Sarcina  nastere si lauzie, Constanta, Anul 2007, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 2008, Numar persoane, 2
Sarcina  nastere si lauzie, Constanta, Anul 2009, Numar persoane, 3
Sarcina  nastere si lauzie, Constanta, Anul 2010, Numar persoane, 5
Sarcina  nastere si lauzie, Constanta, Anul 2011, Numar persoane, 2
Sarcina  nastere si lauzie, Constanta, Anul 2012, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 2013, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 2015, Numar persoane, 1
Sarcina  nastere si lauzie, Constanta, Anul 2016, Numar persoane, 2
Sarcina  nastere si lauzie, Galati, Anul 1990, Numar persoane, 7
Sarcina  nastere si lauzie, Galati, Anul 1991, Numar persoane, 6
Sarcina  nastere si lauzie, Galati, Anul 1992, Numar persoane, 2
Sarcina  nastere si lauzie, Galati, Anul 1993, Numar persoane, 4
Sarcina  nastere si lauzie, Galati, Anul 1994, Numar persoane, 5
Sarcina  nastere si lauzie, Galati, Anul 1995, Numar persoane, 3
Sarcina  nastere si lauzie, Galati, Anul 1996, Numar persoane, 3
Sarcina  nastere si lauzie, Galati, Anul 1997, Numar persoane, 2
Sarcina  nastere si lauzie, Galati, Anul 1998, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 1999, Numar persoane, 4
Sarcina  nastere si lauzie, Galati, Anul 2000, Numar persoane, 4
Sarcina  nastere si lauzie, Galati, Anul 2001, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2002, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2003, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2004, Numar persoane, 2
Sarcina  nastere si lauzie, Galati, Anul 2005, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2006, Numar persoane, 3
Sarcina  nastere si lauzie, Galati, Anul 2007, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2008, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2010, Numar persoane, 2
Sarcina  nastere si lauzie, Galati, Anul 2011, Numar persoane, 2
Sarcina  nastere si lauzie, Galati, Anul 2012, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2015, Numar persoane, 1
Sarcina  nastere si lauzie, Galati, Anul 2016, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 1990, Numar persoane, 3
Sarcina  nastere si lauzie, Tulcea, Anul 1992, Numar persoane, 2
Sarcina  nastere si lauzie, Tulcea, Anul 1993, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 1995, Numar persoane, 2
Sarcina  nastere si lauzie, Tulcea, Anul 1996, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 1997, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2000, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2001, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2004, Numar persoane, 2
Sarcina  nastere si lauzie, Tulcea, Anul 2005, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2007, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2008, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2011, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2014, Numar persoane, 1
Sarcina  nastere si lauzie, Tulcea, Anul 2016, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 1990, Numar persoane, 5
Sarcina  nastere si lauzie, Vrancea, Anul 1991, Numar persoane, 2
Sarcina  nastere si lauzie, Vrancea, Anul 1992, Numar persoane, 2
Sarcina  nastere si lauzie, Vrancea, Anul 1993, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 1994, Numar persoane, 2
Sarcina  nastere si lauzie, Vrancea, Anul 1995, Numar persoane, 3
Sarcina  nastere si lauzie, Vrancea, Anul 1996, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 1997, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 1998, Numar persoane, 2
Sarcina  nastere si lauzie, Vrancea, Anul 1999, Numar persoane, 2
Sarcina  nastere si lauzie, Vrancea, Anul 2001, Numar persoane, 2
Sarcina  nastere si lauzie, Vrancea, Anul 2002, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 2003, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 2004, Numar persoane, 3
Sarcina  nastere si lauzie, Vrancea, Anul 2008, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 2009, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 2010, Numar persoane, 2
Sarcina  nastere si lauzie, Vrancea, Anul 2012, Numar persoane, 1
Sarcina  nastere si lauzie, Vrancea, Anul 2014, Numar persoane, 1
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1990, Numar persoane, 1649
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1991, Numar persoane, 1575
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1992, Numar persoane, 1563
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1993, Numar persoane, 1453
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1994, Numar persoane, 1507
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1995, Numar persoane, 1452
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1996, Numar persoane, 1341
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1997, Numar persoane, 1391
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1998, Numar persoane, 1529
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 1999, Numar persoane, 1392
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2000, Numar persoane, 1450
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2001, Numar persoane, 1324
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2002, Numar persoane, 1055
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2003, Numar persoane, 1185
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2004, Numar persoane, 1425
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2005, Numar persoane, 1251
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2006, Numar persoane, 1154
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2007, Numar persoane, 958
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2008, Numar persoane, 870
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2009, Numar persoane, 802
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2010, Numar persoane, 715
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2011, Numar persoane, 657
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2012, Numar persoane, 623
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2013, Numar persoane, 664
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2014, Numar persoane, 643
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2015, Numar persoane, 547
Unele afectiuni a caror origine se situeaza in perioada perinatala, TOTAL, Anul 2016, Numar persoane, 499
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1990, Numar persoane, 465
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1991, Numar persoane, 470
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1992, Numar persoane, 464
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1993, Numar persoane, 392
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1994, Numar persoane, 366
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1995, Numar persoane, 323
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1996, Numar persoane, 358
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1997, Numar persoane, 362
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1998, Numar persoane, 419
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 1999, Numar persoane, 371
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2000, Numar persoane, 367
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2001, Numar persoane, 285
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2002, Numar persoane, 231
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2003, Numar persoane, 262
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2004, Numar persoane, 343
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2005, Numar persoane, 321
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2006, Numar persoane, 281
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2007, Numar persoane, 254
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2008, Numar persoane, 255
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2009, Numar persoane, 193
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2010, Numar persoane, 162
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2011, Numar persoane, 167
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2012, Numar persoane, 154
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2013, Numar persoane, 152
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2014, Numar persoane, 155
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2015, Numar persoane, 126
Unele afectiuni a caror origine se situeaza in perioada perinatala, MACROREGIUNEA UNU, Anul 2016, Numar persoane, 130
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1990, Numar persoane, 258
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1991, Numar persoane, 278
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1992, Numar persoane, 283
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1993, Numar persoane, 230
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1994, Numar persoane, 218
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1995, Numar persoane, 198
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1996, Numar persoane, 214
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1997, Numar persoane, 203
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1998, Numar persoane, 237
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 1999, Numar persoane, 192
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2000, Numar persoane, 176
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2001, Numar persoane, 136
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2002, Numar persoane, 109
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2003, Numar persoane, 108
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2004, Numar persoane, 153
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2005, Numar persoane, 167
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2006, Numar persoane, 167
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2007, Numar persoane, 139
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2008, Numar persoane, 148
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2009, Numar persoane, 112
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2010, Numar persoane, 93
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2011, Numar persoane, 80
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2012, Numar persoane, 85
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2013, Numar persoane, 80
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2014, Numar persoane, 82
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2015, Numar persoane, 69
Unele afectiuni a caror origine se situeaza in perioada perinatala, Regiunea NORD-VEST, Anul 2016, Numar persoane, 69
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1990, Numar persoane, 48
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1991, Numar persoane, 58
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1992, Numar persoane, 75
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1993, Numar persoane, 60
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1994, Numar persoane, 64
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1995, Numar persoane, 64
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1996, Numar persoane, 62
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1997, Numar persoane, 70
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1998, Numar persoane, 74
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 1999, Numar persoane, 76
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2000, Numar persoane, 47
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2001, Numar persoane, 50
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2002, Numar persoane, 31
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2003, Numar persoane, 27
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2004, Numar persoane, 43
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2005, Numar persoane, 37
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2006, Numar persoane, 56
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2007, Numar persoane, 31
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2008, Numar persoane, 30
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2009, Numar persoane, 25
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2010, Numar persoane, 27
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2011, Numar persoane, 16
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2012, Numar persoane, 21
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2013, Numar persoane, 20
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2014, Numar persoane, 18
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2015, Numar persoane, 14
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bihor, Anul 2016, Numar persoane, 16
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1990, Numar persoane, 37
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1991, Numar persoane, 46
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1992, Numar persoane, 48
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1993, Numar persoane, 19
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1994, Numar persoane, 29
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1995, Numar persoane, 30
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1996, Numar persoane, 29
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1997, Numar persoane, 7
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1998, Numar persoane, 28
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 1999, Numar persoane, 14
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2000, Numar persoane, 16
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2001, Numar persoane, 7
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2002, Numar persoane, 7
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2003, Numar persoane, 3
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2004, Numar persoane, 10
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2005, Numar persoane, 15
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2006, Numar persoane, 17
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2007, Numar persoane, 15
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2008, Numar persoane, 17
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2009, Numar persoane, 12
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2010, Numar persoane, 6
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2011, Numar persoane, 5
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2012, Numar persoane, 6
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2013, Numar persoane, 8
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2014, Numar persoane, 8
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2015, Numar persoane, 5
Unele afectiuni a caror origine se situeaza in perioada perinatala, Bistrita-Nasaud, Anul 2016, Numar persoane, 7
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1990, Numar persoane, 58
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1991, Numar persoane, 53
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1992, Numar persoane, 45
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1993, Numar persoane, 49
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1994, Numar persoane, 35
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1995, Numar persoane, 33
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1996, Numar persoane, 41
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1997, Numar persoane, 32
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1998, Numar persoane, 43
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 1999, Numar persoane, 31
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2000, Numar persoane, 41
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2001, Numar persoane, 26
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2002, Numar persoane, 20
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2003, Numar persoane, 22
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2004, Numar persoane, 31
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2005, Numar persoane, 31
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2006, Numar persoane, 26
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2007, Numar persoane, 21
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2008, Numar persoane, 27
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2009, Numar persoane, 23
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2010, Numar persoane, 20
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2011, Numar persoane, 14
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2012, Numar persoane, 4
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2013, Numar persoane, 19
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2014, Numar persoane, 15
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2015, Numar persoane, 18
Unele afectiuni a caror origine se situeaza in perioada perinatala, Cluj, Anul 2016, Numar persoane, 15
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1990, Numar persoane, 53
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1991, Numar persoane, 57
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1992, Numar persoane, 63
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1993, Numar persoane, 38
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1994, Numar persoane, 46
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1995, Numar persoane, 28
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1996, Numar persoane, 43
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1997, Numar persoane, 47
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1998, Numar persoane, 39
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 1999, Numar persoane, 28
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2000, Numar persoane, 36
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2001, Numar persoane, 29
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2002, Numar persoane, 28
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2003, Numar persoane, 23
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2004, Numar persoane, 24
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2005, Numar persoane, 29
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2006, Numar persoane, 20
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2007, Numar persoane, 23
Unele afectiuni a caror origine se situeaza in perioada perinatala, Maramures, Anul 2008, Numar persoane, 23
