
Clasificarea internationala a maladiilor - Revizia a X a 1994, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Salaj, Anul 2014, Numar persoane, 2972
Total, Salaj, Anul 2015, Numar persoane, 3092
Total, Salaj, Anul 2016, Numar persoane, 2929
Total, Regiunea CENTRU, Anul 1990, Numar persoane, 27620
Total, Regiunea CENTRU, Anul 1991, Numar persoane, 27586
Total, Regiunea CENTRU, Anul 1992, Numar persoane, 29153
Total, Regiunea CENTRU, Anul 1993, Numar persoane, 29551
Total, Regiunea CENTRU, Anul 1994, Numar persoane, 29104
Total, Regiunea CENTRU, Anul 1995, Numar persoane, 29875
Total, Regiunea CENTRU, Anul 1996, Numar persoane, 30888
Total, Regiunea CENTRU, Anul 1997, Numar persoane, 30828
Total, Regiunea CENTRU, Anul 1998, Numar persoane, 29763
Total, Regiunea CENTRU, Anul 1999, Numar persoane, 29384
Total, Regiunea CENTRU, Anul 2000, Numar persoane, 27738
Total, Regiunea CENTRU, Anul 2001, Numar persoane, 28249
Total, Regiunea CENTRU, Anul 2002, Numar persoane, 29822
Total, Regiunea CENTRU, Anul 2003, Numar persoane, 28699
Total, Regiunea CENTRU, Anul 2004, Numar persoane, 28555
Total, Regiunea CENTRU, Anul 2005, Numar persoane, 28805
Total, Regiunea CENTRU, Anul 2006, Numar persoane, 28950
Total, Regiunea CENTRU, Anul 2007, Numar persoane, 27517
Total, Regiunea CENTRU, Anul 2008, Numar persoane, 28049
Total, Regiunea CENTRU, Anul 2009, Numar persoane, 28329
Total, Regiunea CENTRU, Anul 2010, Numar persoane, 28266
Total, Regiunea CENTRU, Anul 2011, Numar persoane, 27465
Total, Regiunea CENTRU, Anul 2012, Numar persoane, 27677
Total, Regiunea CENTRU, Anul 2013, Numar persoane, 27428
Total, Regiunea CENTRU, Anul 2014, Numar persoane, 27968
Total, Regiunea CENTRU, Anul 2015, Numar persoane, 28936
Total, Regiunea CENTRU, Anul 2016, Numar persoane, 28374
Total, Alba, Anul 1990, Numar persoane, 4692
Total, Alba, Anul 1991, Numar persoane, 4566
Total, Alba, Anul 1992, Numar persoane, 4910
Total, Alba, Anul 1993, Numar persoane, 4864
Total, Alba, Anul 1994, Numar persoane, 4811
Total, Alba, Anul 1995, Numar persoane, 5072
Total, Alba, Anul 1996, Numar persoane, 5152
Total, Alba, Anul 1997, Numar persoane, 5254
Total, Alba, Anul 1998, Numar persoane, 4869
Total, Alba, Anul 1999, Numar persoane, 4835
Total, Alba, Anul 2000, Numar persoane, 4619
Total, Alba, Anul 2001, Numar persoane, 4797
Total, Alba, Anul 2002, Numar persoane, 4877
Total, Alba, Anul 2003, Numar persoane, 4620
Total, Alba, Anul 2004, Numar persoane, 4730
